UniqueID	P0.5 A	P0.5 B	P0.5 C	P1 d	P1 h	P1 i 	P1.5 c	P1.5 d	P1.5 g	P2.5 c	P2.5 g	P2.5 j	P4 a	P4 b	P4 f	P5 a	P5 b	P5 f	P7 a	P7 b	P7 c	P10 d	P10 e	P10 f	P13.5 a	P13.5 b	P13.5 c	P15 a	P15 b	P15 c	P19 c	P19 e	P19 f	P23 d	P23 e	P23 f 	P28c	P28d	P28e
Q3U561	2.32	3.74	0.0	2.01	1.2	0.0	0.99	0.88	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	1.77	4.24	0.91	6.82	0.9	4.62	3.08	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17
B1Q450	32.52	21.17	36.31	13.06	0.0	28.68	29.58	31.63	53.6	24.81	30.73	25.11	57.47	30.69	12.57	11.34	30.89	32.04	27.56	44.65	18.77	18.59	24.58	21.82	20.46	18.98	0.0	21.54	42.44	50.48	0.0	29.96	37.99	49.12	27.81	35.49	22.61	19.32	33.68
Q8BZF8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.95	0.0	0.99	0.0	0.0	0.0	0.0	0.0	2.77	2.05	7.22	0.0	0.0	3.74	0.93	2.59	2.25	0.93	0.0	0.0	0.0
Q5PR15	2.32	0.0	2.5	0.0	1.2	0.0	0.0	3.51	4.7	0.0	0.0	0.0	4.93	3.07	3.35	1.89	0.0	4.93	2.85	3.31	3.95	5.31	1.7	3.64	0.0	3.62	2.77	4.1	3.61	1.74	0.91	0.0	1.85	3.45	1.5	5.6	6.24	4.83	4.35
Q99KC8	1.16	6.23	3.76	0.0	0.0	0.0	1.97	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.84	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.91	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q8BHC0	4.65	3.74	3.76	2.01	0.0	0.0	1.97	2.64	0.94	4.96	0.0	1.05	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1.98	0.0	0.0	1.82	0.97	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.93	4.31	3.01	0.93	3.12	0.0	2.17
Q9Z0M6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	3.54	0.85	0.91	0.0	3.62	0.92	1.03	0.0	0.0	4.57	0.0	2.78	0.0	0.75	0.0	0.78	0.0	0.0
Q9ET54	12.78	14.95	12.52	8.04	2.41	5.74	2.96	7.91	8.46	14.89	10.97	12.56	5.75	14.58	15.93	17.01	12.36	18.07	9.5	21.5	18.77	16.82	22.04	18.18	23.39	10.85	12.93	10.26	18.06	0.0	4.57	8.43	17.61	3.45	12.78	7.47	5.46	0.0	0.0
Q8CIB5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9DAU1	0.0	2.49	1.25	2.01	2.41	0.0	2.96	1.76	1.88	0.99	0.0	2.09	0.0	0.0	1.68	0.0	1.03	0.0	1.9	0.0	0.0	0.89	0.0	3.64	5.85	1.81	1.85	5.13	2.71	0.0	0.0	0.0	0.0	1.72	0.0	0.93	0.78	0.0	0.0
