Gene	E16.5-031	E16.5-032	E16.5-023	E16.5-024	E16.5-095	E16.5-096	E16.5-047	P0.5-a8	P0.5-a9	P0.5b-4.210	P0.54.311	P1-a12	P1-a13	P1b-6.314	p1b-6.215	P1.5-a16	P1.5-a17	P1.5-a18	P1.5-a19	P2-a20	P2-a21	p2-b22	P2b-5.123	P2b-6.124	P2.5-a25	P2.5-b26	p2.5b-427	P2.5b-528	P3-a29	P3-a30	P3-b31	P3b-5.732	P3b-533	P3.5-a34	P3.5-b35	P3.5b-5.936	P3.5b-5.437	P4-a38	P4-a39	P4b-6.340	P4b-7.341	P4.5-a42	P4.5-b43	P4.5b-6.344	P4.5b-5.545	P5-a46	P5-b47	P5b-2.748	P5b-2.849	P5.5-a50	P5.5-a51	p5.5b-7.952	P5.5b-9.153	P6-a54	P6b-7.255	P6b-8.756	P6c-6.557	P6.5-a58	P6.5-a59	P6.5b-6.360	p6.5b-4.461	P7-c62	P7-c63	P7-a64	P7b-7.765	P7b-8.366	P7.5b-8.767	P7.5b-968	P8-a69	P8-a70	P8b-6.371	P8b-72	P8.5-a73	P8.5-b74	P8.5b-9.175	P8.5b-9.376	P9-a77	P9-a78	P9b-10.379	P9b-1080	P9.5-a81	P9.5-a82	P9.5b-8.283	P9.5b-1084	P10-a85	P10-a86	P10b-6.787	P10b-6.688	P10.5-a89	P10.5c-10.590	P10.5b10.191	P10.5b-6.892	P11-a93	P11-a94	P11b-6.495	P11b-9.296	P11.5-a97	P11.5-a98	P11.5b-6.199	P11.5b-5.5100	P12-a101	P12-a102	P12b-6103	P12b-5.2104	P12.5-a105	P12.5-a106	P12.5b-11.3107	P12.5b-10.8108	P13-b109	P13-b110	P13c-6.1111	P13b-8112	P13.5-b113	P13.5b-6.5114	P13.5b-5115	P14-a116	P14-a117	P14b-5118	P14b-5119	P15-a120	P15-a121	P15c-11.8122	P15b-6.1123	P16-a124	P16-a125	P16c-11.2126	P16b-7127	P17-a128	P17-a129	P17b-9.7130	P17b-12131	P18-a132	P18-a133	P18b-8.6134	P18b-10.2135	P19-a136	P19-a137	p19c-8138	P19b-5.3139	P20-a140	P20c-9.2141	P20c-9.2142	P21-a143	P21b-7.1144	P21b-4145	P21c-10146	P22-a147	P22-a148	P22b-5.2149	p22b-6.1150	P23-a151	P23-a152	P23b-5153	P23b-3.5154	P24-a155	P24-a156	P24b-12.4157	P24c-8158	P25-a159	P25-a160	P25b-11161	P25b-11.1162	P26-a163	P26-a164	P26b-8.2165	P26b-7.6166	P27-a167	P27-a168	p27b-7.6169	P27b-8.1170	P28b-8.3171	P28c-8.4172	P28c-9.2173	p28b-7.3174
FOXF2	58.12	60.77	66.61	84.61	112.16	159.62	136.77	32.62	25.43	133.49	123.93	35.08	71.16	15.33	64.5	42.38	37.79	42.38	37.79	38.11	56.14	34.34	127.87	98.35	49.6	37.64	105.26	96.85	76.47	57.98	31.54	119.87	60.95	68.3	50.19	149.45	326.52	90.67	73.64	180.72	133.64	92.96	125.84	312.99	286.41	79.45	75.25	304.35	214.26	152.63	128.85	298.55	257.75	97.05	349.96	377.27	216.15	81.21	56.84	238.32	244.99	118.3	113.26	128.52	215.3	240.04	327.42	212.84	122.34	240.86	208.13	262.55	139.02	167.97	794.38	595.7	214.69	162.1	357.73	692.37	124.1	117.5	405.62	1891.53	81.99	85.86	393.04	237.16	196.84	557.92	353.27	490.99	149.6	211.18	456.42	403.06	136.5	151.39	383.72	342.91	211.8	175.68	285.1	310.22	148.01	196.6	330.66	310.35	133.98	125.11	222.9	498.53	210.51	246.03	264.68	84.11	92.2	340.25	242.68	74.32	70.81	190.01	280.07	102.63	103.44	172.38	358.48	104.42	99.46	417.14	380.9	61.42	72.56	251.12	375.99	72.78	47.29	214.7	211.89	85.18	212.21	115.66	96.28	286.92	191.91	231.71	74.04	66.57	195.27	197	52.76	51.45	139.15	174.27	96.56	106.43	207.05	162.29	67.2	78.11	217.02	228.99	38.35	43.23	138.75	126.91	56.21	60.53	168.02	168.96	83.13	226.14	210.23	96.81
FSP1 (S100a4)	108.72	116.35	66.98	99.68	58.01	66.44	46.15	57.71	50.86	300.35	161.1	57.65	124.52	184	183.58	59.26	42.24	59.26	42.24	52.49	70.18	45.78	114.08	89.8	39.68	34.5	114.16	101.95	50.98	41.41	70.09	102.74	205.01	51.23	45.88	128.45	227.14	51.74	51.33	122.8	130.6	59.76	42.36	104.33	95.75	42.38	25.08	96.11	72.13	71.09	65.79	92.2	185.26	67.3	106.83	112.42	141.24	28.25	44.66	132.6	160.19	61.52	58.73	46.27	114.38	151.22	77.76	127.71	63.15	44.86	113.53	150.03	47.47	45.22	148.95	81.23	58.98	43.49	173.76	171.69	37.23	37.9	187.21	630.51	65.59	80.13	109.18	127.7	81.05	130.56	151.4	163.66	93.5	56.86	104.32	149.71	71.35	40.71	138.32	103.42	97.3	95.3	140.76	168.74	67.07	33.57	177.43	154.92	82.45	67.37	166.04	238.5	56.14	251.1	352.91	59.76	49.39	107.33	146.78	55.42	64.48	224.56	154.47	79.83	86.2	172.38	183.64	77.86	71.83	154.25	173.57	67.44	77.26	133.31	173.7	47.31	96.46	191.74	180.96	79.75	150.95	280.88	81.29	244.57	201.84	248.34	65.81	64.69	244.7	627.93	52.76	76.48	237.58	245.73	97.09	94.05	152.01	138.33	111.51	107.4	257.07	303.53	64.69	56.12	131.11	117.79	127.51	157.64	286.97	268.75	96.54	247.95	234.85	145.22
gapdh	9142.49	8944.4	6779.97	7669.42	8607.35	8296.72	9463.52	1701.19	996.87	4872.39	4473.73	2329.49	7056.23	4753.21	4991.36	1883.93	1578.48	1883.93	1578.48	1756.69	1375.47	947.12	4467.97	3677.32	1163.83	995.5	3836.96	4174.67	1178.86	1267.25	904.2	3958.98	3219.28	1411.63	1016.63	3676.91	3818.85	1444.04	1417.74	3623.66	3784.39	1155.3	1274.63	3816.11	3550.59	1112.34	808.89	2931.35	3065.42	1124.88	1206.22	3077.69	3801.76	1034.18	4357.97	3852.76	3264.03	955.11	970.37	4508.44	4645.39	979.55	897.73	1056.47	3323.7	3451.72	3425.6	3405.52	1116.89	1532.19	4358.19	4024.55	940.95	1077.29	4815.93	3622.54	1325.9	1087.23	4272.35	3916.73	930.77	1205.34	3619.34	1261.02	934.63	1030.28	3297.14	3484.4	880.01	2930.84	2927.06	2127.65	729.32	722.88	2627.67	2916.46	772.49	877.79	3132.19	2520.13	1229.83	1100.5	3155.18	3182.72	795.57	709.69	3163.05	3329.2	566.83	888.59	2603.18	3716.36	1114.28	2914.28	1808.66	865.45	958.19	3608	4111.88	792.31	921.75	3209.92	3099.58	729.85	680.99	2494.13	3021.33	1022.79	745.93	3119.83	3406.94	970.11	839.37	2740.66	2969.07	742.38	701.73	2812.92	2813.41	1191.36	3517.85	3287.99	882.34	3093.28	3080.53	3007.44	908.53	845.72	3522.21	6039.21	809	734.17	2786.46	3244.99	1226.98	971.04	3734.17	3627.08	922.28	841.48	3727.53	3493.24	1004.08	991.92	3486.34	3509.52	863.46	865.91	3416.15	3332.76	4006.53	3501.11	3610.82	4166.49
GATA-6	275.8	254.58	272.23	281.35	443.55	411.54	448.17	120.44	157.67	500.59	297.42	99.13	106.73	306.66	262.96	160.9	120.05	160.9	120.05	114.33	101.76	165.96	408.69	359.18	135.56	112.28	357.31	412.88	70.09	132.52	94.63	342.47	304.75	62.61	116.15	312.11	482.68	111.71	125.42	322.05	346.24	129.47	104.66	250.39	290.24	95.34	97.19	376.43	271.54	69	123.36	311.72	414.81	92.91	279.97	238.18	311.08	90.04	117.74	238.32	287.39	94.64	92.29	69.4	275.85	300.04	315.14	383.12	114.45	83.64	309.05	288.81	96.64	67.84	546.14	201.14	99.09	98.84	439.5	282.73	68.26	94.76	332.81	3152.55	54.66	45.79	305.7	255.4	162.11	309.6	252.33	163.66	56.1	48.73	326.01	351.24	71.35	78.87	343.56	326.58	83.04	83.37	194.44	214.17	87.88	52.75	254.04	299.06	61.84	73.78	285.45	312.25	115.64	275.2	441.14	110.67	95.49	308.28	317.05	64.24	98.62	325.16	347.93	85.53	103.44	308.57	338.36	94.46	88.41	227	291.37	74.07	66.82	230.46	255.79	72.78	87.01	257.18	324.8	106.33	293.15	363.5	87.6	275.99	287.87	266.17	83.18	86.26	272.25	320.12	84.42	76.48	257.94	315.44	82.39	86.63	283.72	300.62	77.91	83.17	255.21	246.95	54.96	59.15	193.38	190.78	61.42	64.59	228.74	241.54	207.84	210.14	231.06	191.83
GFPT1	266.42	297.81	353.21	363.62	407.76	412.87	364.34	120.44	132.24	550.65	632.02	128.11	71.16	413.99	297.7	134.71	108.94	134.71	108.94	113.61	101.76	80.12	426.24	496.01	102.5	131.1	499.63	484.24	127.44	99.39	112.15	500.01	387.86	85.38	95.71	307.31	511.07	129.43	144.83	405.46	416.1	89.64	82.23	238.8	295.78	84.75	47.03	240.27	301.24	104.54	115.14	368.8	451.06	82.42	287.34	306.77	297.35	61.79	40.6	381.68	348.64	99.37	104.87	79.68	235.48	264.04	327.42	340.55	169.7	140.04	473.03	611.37	83.07	211.58	744.73	491.26	126.22	110.7	725.69	609.32	130.31	125.08	473.22	630.51	153.04	114.48	414.87	638.5	81.05	371.95	302.8	163.66	84.15	73.1	352.1	308.06	114.79	96.68	383.72	348.35	129.31	138.06	343.55	377.72	122.57	91.11	320.98	321.12	103.06	128.32	359.37	331.1	108.9	308.17	529.36	66.4	88.9	320.84	375.76	90.69	115.06	307.88	346.48	148.25	129.3	285.16	382.38	88.12	66.31	251.26	272.52	69.85	83.52	314.16	318.09	61.87	88.9	269.81	245.92	109.95	293.15	421.33	97.07	256.86	248.16	248.34	105.11	103.14	279.54	683.34	73.86	84.82	274.91	275.35	104.44	89.93	265.37	303.89	87.65	71.6	281.29	278.38	75.56	75.84	289.53	311.05	84.32	81.76	276.15	286.9	320.47	349.02	299.24	306.57
GUCY1A2  sGC(soluble guanylate cyclase) (PMID 23934926)	59.74	80.7	60.08	63.6	68.19	64.13	49.86	37.64	25.43	116.8	12.39	34.77	71.16	61.33	39.69	31.01	24.46	31.01	24.46	42.43	28.07	17.17	46.38	51.31	16.53	26.97	66.72	56.07	12.74	8.28	3.5	54.8	49.87	22.77	27.6	67.82	113.57	23.68	22.09	48.66	69.86	39.84	22.43	62.6	77.88	15.89	31.35	80.09	50.91	31.36	52.09	83.42	68.46	38.77	58.94	70.5	94.35	17.65	20.3	68.09	51.82	56.79	58.73	25.7	74.01	52.81	65.48	85.14	23.68	29.9	88.3	60.01	50.86	32.3	49.65	75.43	41.29	43.49	132.87	92.38	43.44	11.37	62.4	1261.02	38.26	17.17	87.34	54.73	104.21	125.23	252.33	163.66	56.1	8.12	104.32	97.89	40.33	36.89	75.85	119.75	50.12	41.6	85.89	83.07	43.94	43.16	90.33	104.13	30.92	32.08	109.18	113.6	48.84	100.19	44.11	46.48	55.98	114.18	133.08	56.68	54.37	82.31	134.26	57.02	51.72	91.51	106.92	48.59	49.73	46.56	73.04	36.13	46.46	107.48	139.26	32.75	22.7	112.52	95.89	45.31	76.57	41.31	26.83	107.94	105.88	73.67	31.99	41.25	64.82	129.28	35.17	41.71	81.46	85.39	43.56	41.25	98.28	80.6	27.76	37.61	82.9	86.21	28.05	34.13	71.02	79.63	30.19	26.65	61.55	68.04	57.66	90.89	80.49	57.37
GUSB	150.17	140.91	155.43	144.48	162.61	175.34	171.18	82.8	76.29	133.49	185.89	51.55	41.51	199.33	129	66.5	60.03	66.5	60.03	49.62	84.21	91.56	195.57	183.87	99.19	82.8	234.25	186.05	63.72	33.13	59.58	222.61	205.01	91.07	79.58	228.68	85.18	68.75	66.73	145.97	173.12	73.04	42.36	166.93	191.94	68.86	59.57	152.17	140.01	62.73	41.12	241.47	257.75	56.82	162.09	203.88	187.56	51.2	40.6	207.86	249.7	66.25	62.92	46.27	134.56	165.62	188.26	212.84	39.47	65.14	277.51	202.54	47.47	59.76	148.95	228.22	50.72	67.21	163.53	205.28	99.28	60.65	234.01	2522.04	60.12	68.69	174.68	237.16	34.74	199.3	151.4	327.33	84.15	73.1	169.53	181.38	55.84	55.98	174.01	163.29	56.52	63.98	176.55	181.72	55.51	71.93	195.98	205.7	92.75	54.53	220.63	194.89	59.5	178.81	308.8	59.76	85.61	202.09	193.75	59.2	55.63	164.61	167.47	22.81	34.48	170.25	186.16	62.47	55.25	161.04	183.78	55.4	45.94	153.98	153.91	61.87	66.2	149.26	182.51	51.96	142.2	198.27	48.14	122.97	172.06	166.35	41.13	48.76	161.24	166.22	38.69	57.01	125.58	121.99	44.08	43.73	154.63	164.47	46.26	54.6	137.85	134.7	41.22	56.12	149.68	128.57	64.02	56.01	148.06	137.21	136.77	166.51	151.52	112.95
HIF1alpha	671.78	819.05	740.75	650.78	846.22	736.47	655	296.08	244.13	700.82	582.45	333.39	201.61	674.65	654.93	312.15	197.87	312.15	197.87	214.28	273.69	226.05	649.39	615.74	198.38	222.06	695.34	818.11	261.26	223.63	255.84	667.82	603.96	273.22	271.72	710.65	695.63	265.69	269.13	539.84	495.07	285.51	241.72	595.83	728.59	211.88	222.6	656.75	568.53	177.72	233.02	816.62	773.24	221.91	681.51	672.61	657.61	169.48	129.92	686.3	607.76	236.61	197.16	159.37	666.09	590.49	708.04	681.1	248.64	241.3	838.84	791.41	205.14	218.04	546.14	667.26	220.59	177.91	797.23	717.56	273.03	204.68	556.42	630.51	120.24	217.5	611.39	565.53	208.42	652.78	555.13	327.33	168.3	146.2	456.42	526.86	158.22	171.74	566.65	566.08	206.31	207.17	584.51	704.82	212.77	119.88	537.12	644.3	185.51	163.6	640.28	586.82	180.75	532.64	176.45	208.06	263.42	640.53	773.06	173.83	199.78	609.67	558.7	165.36	172.4	512.87	533.32	175.34	165.76	439.45	453.94	157.17	170.17	533.25	537.96	134.65	139.97	443.18	425.34	198.76	551.31	578.29	176	528.75	529.42	495.5	165.44	164.08	433.49	677.18	186.42	189.1	414.07	456.6	182.63	159.23	459.32	370.33	173.35	160.2	449.87	468.76	185.47	187.31	479.63	444.6	187.37	172.55	444.17	442.25	442.49	452.27	459.28	469.72
Hist1h1b	4204.26	4118.54	4329.16	4728.54	3796.33	4426.7	3636.88	135.49	106.81	233.61	322.21	534.71	326.13	475.32	669.81	68.56	57.8	68.56	57.8	88.45	140.35	114.46	348.51	295.04	135.56	149.29	413.64	318.58	210.28	314.74	350.46	876.73	742.48	768.43	619.08	1628.98	1632.59	508.06	570.18	2219.61	1749.45	979.35	1020.45	2297.55	2238.54	746.86	708.57	1673.91	1722.58	547.8	671.64	1554.21	1908.93	583.78	2011.37	1981.64	1840.74	880.96	743.01	1842.08	2204.91	615.18	734.12	501.24	1002.49	1154.57	1690.29	1958.17	524.9	666.61	1658.76	1425.28	608.65	423.16	1489.46	965.11	607.51	573.26	1134.52	901.38	546.05	670.9	1248.05	630.51	256.89	320.53	873.42	784.45	289.48	295.75	454.2	490.99	84.15	194.93	247.77	215.93	164.43	183.19	365.87	185.06	272.71	231.04	359.06	346.57	286.78	254.15	330.66	349.85	82.45	105.86	373.02	575.52	181.88	440.06	220.57	212.49	233.79	445.29	336.62	76.84	83.45	249.97	264.19	91.23	34.48	214.94	252.83	65.49	71.83	159.1	174.35	36.13	33.93	97.14	92.35	47.31	51.07	124	114.45	27.19	113.76	99.14	46.56	83.34	86.03	84.37	50.27	69.38	774.61	240.09	24.62	34.76	139.15	97.59	59.83	51.98	205.09	125.26	67.69	57.5	145.3	174.21	77.28	87.97	190.1	177.51	45.8	60.53	198.8	149.69	375.44	101.07	102.27	365.73
Hist1h2ab	5382.84	5977.95	5882.3	6007.29	4320.88	4881.94	4062.46	35.13	76.29	317.04	260.24	306.25	142.31	475.32	788.89	30.66	22.23	30.66	22.23	82.69	84.21	74.4	236.94	213.8	72.74	72.77	296.52	300.74	127.44	198.78	269.86	849.33	759.11	512.28	402.92	1446.52	1760.36	339	338.09	3123.2	2921.82	471.42	627.97	2436.65	2548.36	264.84	649	2354.69	2261.41	158.9	180.93	1716.66	2146.54	442.11	1145.67	1470.98	2334.8	474.91	361.35	2365.32	2506.44	425.89	356.57	287.89	1433.09	1406.61	2729.84	3022.4	288.1	257.88	1513.7	1485.3	179.71	103.37	397.19	469.98	324.4	256.98	899.44	890.19	359.9	325.97	1055.64	630.51	114.78	286.19	1200.95	966.88	220	517.43	706.53	490.99	102.85	121.83	449.9	437.61	139.61	133.58	356.94	337.47	178.15	180.32	535.6	686.65	171.14	163.04	514.54	566.32	72.14	118.69	590.24	812.94	109.46	579.56	617.59	163.79	207.44	674.79	542.12	80.62	92.3	463.35	431.66	85.53	43.1	321.34	415.09	49.49	55.25	287.15	292.94	33.12	38.63	139.51	189.83	36.39	37.83	200.92	179.41	32.62	189.24	123.92	33.94	124.33	79.41	152.1	34.73	40.32	909.92	627.93	10.55	26.42	179.88	170.79	43.03	31.35	299.44	278.84	59.41	55.69	218.88	209.24	79	78.87	248.01	306.91	55.17	55.11	294.45	230.2	678.48	154.88	166.67	555.77
hmbs	153.88	181.04	177.07	169.37	164.62	174.63	158.92	72.76	76.29	150.18	136.32	63.75	59.3	168.66	129	75.8	62.25	75.8	62.25	61.12	77.19	82.98	104.05	81.24	82.66	57.08	139.36	150.37	57.35	66.26	42.06	85.62	66.49	74	60.58	113.44	127.77	63.66	69.63	164.5	106.3	79.68	71.02	141.42	170.66	58.27	72.11	128.15	127.28	58.54	54.83	118.54	88.6	73.16	103.15	110.51	137.24	58.26	60.9	148.73	113.07	61.52	50.34	46.27	174.93	139.22	147.34	127.71	67.09	79.2	189.21	123.77	54.25	54.91	198.6	110.24	75.5	47.44	132.87	131.1	80.67	60.65	83.2	630.51	54.66	57.24	109.18	127.7	81.05	112.97	100.93	163.66	56.1	32.49	130.41	80.61	46.54	43.25	102.62	125.19	53.41	57.18	85.89	99.95	55.51	52.75	126.62	119.01	41.22	51.33	128.51	110.37	42.66	86.24	176.45	59.76	108.66	106.18	113.51	45.35	55.63	112.79	118.38	62.72	77.58	89.38	122.01	49.49	71.83	104.77	95.82	32.52	39.15	59.94	88.68	65.5	34.05	66.59	94.35	50.14	109.39	90.87	38.67	77.88	79.41	74.86	33.82	46.88	90.75	6.16	42.21	30.59	78.06	59.25	43.56	41.25	85.18	77.33	36.52	42.67	64.27	74.53	33.2	35.64	51.35	64.7	47.36	50.14	66.54	40.82	67.04	57.44	72.92	68.13
HPGDS	22.35	26.24	21.64	20.88	14.35	11.37	10.85	27.6	30.52	66.75	37.18	15.56	29.65	30.67	39.69	17.92	4.45	17.92	4.45	22.29	42.11	20.03	30.09	25.66	33.06	15.68	32.62	30.58	31.86	33.13	10.51	27.4	11.08	17.08	8.96	22.21	42.59	10.87	12.5	30.12	21.26	23.24	9.97	18.55	14.9	21.19	9.41	16.02	14.85	12.55	8.22	35.12	28.19	7.8	18.42	11.43	30.31	15.89	12.18	32.25	23.56	23.66	12.58	23.13	40.37	19.2	36.83	42.57	15.79	9.03	31.54	11.25	10.17	12.92	99.3	21.27	4.72	7.91	20.44	24.26	12.41	22.74	31.2	630.51	16.4	11.45	21.84	36.49	57.9	18.12	50.47	163.66	18.7	16.24	32.6	28.79	15.51	7.63	26.77	10.89	5.67	5.97	14.31	18.17	6.94	4.8	11.29	20.52	20.61	12.83	22.75	22.07	7.3	7.61	44.11	4.43	13.17	13.7	21.53	6.3	12.64	17.27	25.99	11.4	25.86	23.41	15.09	10.86	22.1	16.49	20.42	11.44	8.35	10.33	14.66	3.64	7.57	10.33	15.47	8.46	15.31	8.26	11.05	17.76	23.16	15.45	4.57	10.31	9.72	12.31	21.1	11.12	10.18	8.71	5.25	9.08	14.42	7.62	6.33	7.59	13.97	17.06	4.58	6.07	14.2	14.93	8.85	5.87	10.81	12.47	17.43	11.63	8.52	17.93
hprt	94.71	83.93	81.16	89.45	88.25	88.74	93.89	35.13	55.95	233.61	99.14	32.03	71.16	214.66	99.23	27.91	51.13	27.91	51.13	33.08	35.09	31.48	60.17	85.52	23.14	29.48	97.85	79.01	31.86	24.85	42.06	75.34	77.57	39.84	32.98	72.63	184.55	36.65	32.36	118.16	94.15	76.36	56.07	106.65	105.12	26.48	31.35	72.08	78.49	50.18	52.09	105.37	128.87	34.38	99.46	87.65	76.05	21.19	89.32	80.64	108.36	47.32	41.95	64.26	60.55	67.21	85.95	85.14	27.63	49.59	107.22	123.77	62.73	59.76	148.95	75.43	43.65	47.44	122.65	65.32	80.67	56.86	114.4	630.51	43.73	74.41	240.19	127.7	81.05	87.39	252.33	163.66	18.7	97.47	104.32	66.22	52.74	47.07	53.54	87.09	42.8	29.17	54.87	96.05	57.82	28.77	71.78	68.74	82.45	32.08	70.51	81.83	44.91	77.36	352.91	35.41	59.27	97.05	68.5	35.27	46.78	70.11	63.52	34.21	60.34	78.74	67.92	38.03	60.78	78.58	65.19	26.5	21.92	71.31	82.82	40.03	32.15	82.67	66.51	33.83	72.19	123.92	37.09	64.22	79.41	89.12	34.73	36.57	67.25	160.06	73.86	44.49	78.06	88.88	31.49	32.18	74.7	64.26	31.65	34.35	85.69	79.92	25.19	38.68	59	83.78	32.27	27.1	78.19	78.24	87.16	87.25	90.91	87.85
IGF1	51.29	87.57	83.78	108.26	94.42	76.84	65.3	17.56	35.6	133.49	37.18	27.45	41.51	15.33	29.77	25.84	24.46	25.84	24.46	37.39	73.69	22.89	57.67	76.97	46.29	23.21	65.23	58.62	25.49	16.57	28.04	85.62	83.11	85.38	26.89	67.82	42.59	41.91	36.82	90.36	78.97	33.2	43.61	132.15	98.73	15.89	31.35	128.15	78.49	50.18	30.16	92.2	88.6	48.28	92.1	78.12	46.89	45.9	60.9	75.26	94.23	66.25	41.95	61.69	80.74	69.61	110.5	42.57	27.63	46.48	88.3	82.52	32.21	43.61	49.65	83.17	44.83	39.54	163.53	95.64	49.64	49.27	93.6	1261.02	38.26	97.3	131.01	54.73	104.21	50.62	50.47	163.66	28.05	24.37	19.56	40.31	27.92	17.81	53.54	48.99	47.74	36.13	41.75	40.24	39.32	43.16	23.39	23.08	20.61	38.49	44.35	31.23	20.21	31.7	88.23	26.56	26.34	38.82	54.8	17.63	21.49	29.47	20.21	34.21	60.34	31.92	36.48	13.28	38.68	24.25	30.63	12.65	12.01	18.6	13.93	14.56	15.13	39.04	7.73	17.52	35	41.31	9.47	17.76	33.09	22.58	16.45	20.63	20.26	36.94	17.59	18.08	16.97	27.88	14.69	16.5	34.73	15.25	14.12	10.49	27.94	20.65	16.03	15.93	28.41	26.54	13.53	8.58	19.96	18.14	16.09	16.72	28.41	10.76
Igfbp3	107.22	100.35	143.67	122.08	166.47	47.08	98.83	185.68	289.91	1084.61	1003.8	301.98	171.96	766.65	585.47	266.67	200.09	266.67	200.09	84.13	84.21	65.81	354.78	188.14	66.13	80.92	255.01	259.96	101.96	107.68	66.59	191.78	243.8	74	46.96	155.46	170.36	56.82	63.38	71.82	57.71	33.2	22.43	48.69	94.05	42.38	40.76	80.09	84.86	69	60.31	83.42	56.38	17.31	73.68	97.18	70.34	22.95	8.12	93.18	80.09	18.93	29.36	43.7	94.19	88.81	81.85	42.57	51.31	38.49	126.14	138.78	45.78	53.3	99.3	108.31	37.75	59.3	255.52	184.29	18.62	34.11	98.8	1261.02	49.19	62.96	87.34	145.94	81.05	172.12	151.4	490.99	84.15	81.22	247.77	279.27	65.15	67.42	267.71	283.04	40.79	43.09	249.31	219.36	41.63	100.7	249.21	299.58	113.37	86.61	147.84	327.87	135.29	290.41	88.23	61.98	72.44	216.94	215.28	144.86	173.22	441	326.27	199.57	232.74	453.28	450.31	85.41	77.36	463.71	563.11	116.22	119.54	352.4	466.14	123.73	128.62	460.4	389.76	183.05	401.45	652.64	164.95	403.05	430.15	518.07	139.84	167.83	314.38	751.05	137.18	198.84	315.64	359	143.27	157.58	304.03	260.32	85.22	116.44	429.38	425.65	80.72	100.86	351.8	356.68	130.64	118.8	362.66	317.51	174.31	373.02	378.79	143.42
INMT	2.78	4.07	4.29	3.46	2.01	2.58	2.38	584.63	539.12	1134.67	1202.08	288.25	231.25	444.66	481.27	706.99	602.49	706.99	602.49	264.62	252.64	163.1	398.66	354.9	89.27	37.01	72.65	86.65	19.12	57.98	10.51	17.12	27.7	45.54	21.87	34.81	56.79	12.45	10.49	16.22	9.11	39.84	18.69	25.5	25.53	26.48	25.08	16.02	29.7	23	24.67	57.08	20.14	26.58	3.68	11.43	72.62	19.42	16.24	32.25	9.42	14.2	20.97	28.28	60.55	153.62	24.56	85.14	31.57	16.88	56.76	41.26	38.99	29.07	99.3	77.36	23.59	43.49	153.31	118.04	86.87	79.6	72.8	630.51	27.33	74.41	109.18	273.64	185.27	694.34	1110.26	490.99	158.95	300.52	847.64	1024.93	257.5	356.2	1615.17	1355.32	100.6	105.24	1545.98	1813.32	335.34	297.3	2309.79	2706.97	432.85	708.95	1011.02	2088.33	840.34	2144.5	1191.07	923	1050.39	2250.43	2035.39	1134.93	1323.83	4116.3	3815.64	1950.06	1655.06	4000.82	4592.38	3380.12	2817.96	5969.01	5264.34	3106.64	3666.52	6774.14	7250.79	2765.73	2805.02	6112.65	7614.3	2586.91	6857.4	6212.49	2650.98	6640.16	6571.37	8498.32	2319.78	2495.9	4603.1	7208.88	2409.41	3321.82	4856.78	5768.48	1974.3	2059.22	7087.65	7966.51	2481.5	2893.29	6251.68	7405.84	2495.88	2479.81	5983.92	5789.76	2272.37	2646.06	6840.61	6679.14	4183.53	5934.79	5821.06	4309.92
integrin subunit alpha 8	124.7	183.57	186.59	230.34	262.58	248.63	208.16	225.82	147.5	567.33	582.45	144.28	94.87	367.99	267.93	177.44	166.74	177.44	166.74	125.12	112.28	77.26	299.62	273.66	105.8	78.41	243.15	231.93	146.56	99.39	80.61	363.02	232.72	102.46	129.05	394.34	411.7	127.32	114.26	208.52	291.57	66.4	104.66	368.63	363.02	116.53	103.46	320.37	345.79	190.27	224.8	447.82	451.06	124.12	442.06	459.21	278.48	143	85.26	322.54	273.26	141.96	121.65	100.25	336.41	384.06	429.73	297.98	181.54	185.64	460.42	543.86	188.19	190.59	297.89	680.8	126.22	170	868.78	626.58	161.33	136.45	592.82	1261.02	103.85	154.54	545.88	547.29	127.37	699.14	605.6	163.66	140.25	194.93	860.68	768.7	198.55	198.46	892.36	783.8	239.78	198.06	714.54	742.46	203.52	249.35	679.06	757.15	154.59	182.85	527.69	853.85	326.14	812.9	705.82	263.4	279.88	803.81	769.14	304.83	340.13	873.86	952.83	347.82	310.32	685.25	1040.23	319	237.59	1196.13	1159.21	312.53	407.68	1066.5	1215.92	214.71	244	1040.21	1068.75	341.94	851.02	1007.88	317.26	927.71	853.68	1039.71	284.26	262.53	760.03	1237.39	221.59	287.83	556.61	766.81	361.59	348.15	786.93	752.65	253.21	282.42	863.42	915.96	295.96	268.46	748.4	680.17	215.99	238.5	889.18	782.45	706.64	898.73	832.39	595.21
